curso,dia,hora
P0,1,9
P110,1,9
P119,1,9
P139,1,9
P147,1,9
P151,1,9
P170,1,9
P185,1,9
P188,1,9
P190,1,9
P206,1,9
P24,1,9
P25,1,9
P52,1,9
P53,1,9
P58,1,9
P74,1,9
P85,1,9
P1,1,12
P105,1,12
P126,1,12
P163,1,12
P164,1,12
P202,1,12
P55,1,12
P79,1,12
P82,1,12
P133,1,15
P184,1,15
P195,1,15
P2,1,15
P73,1,15
P75,1,15
P99,1,15
P123,1,18
P136,1,18
P143,1,18
P161,1,18
P172,1,18
P173,1,18
P187,1,18
P189,1,18
P191,1,18
P3,1,18
P46,1,18
P78,1,18
P89,1,18
P106,2,9
P107,2,9
P108,2,9
P152,2,9
P156,2,9
P4,2,9
P67,2,9
P68,2,9
P69,2,9
P83,2,9
P84,2,9
P111,2,12
P115,2,12
P145,2,12
P168,2,12
P177,2,12
P199,2,12
P5,2,12
P59,2,12
P62,2,12
P87,2,12
P51,2,15
P6,2,15
P117,2,18
P7,2,18
P8,3,9
P100,3,12
P155,3,12
P180,3,12
P204,3,12
P44,3,12
P71,3,12
P9,3,12
P10,3,15
P11,3,18
P66,3,18
P12,4,9
P13,4,12
P196,4,12
P39,4,12
P121,4,15
P14,4,15
P36,4,15
P76,4,15
P92,4,15
P101,4,18
P113,4,18
P135,4,18
P15,4,18
P42,4,18
P56,4,18
P72,4,18
P16,5,9
P165,5,12
P17,5,12
P40,5,12
P97,5,12
P18,5,15
P50,5,15
P131,5,18
P160,5,18
P182,5,18
P19,5,18
P118,9,9
P130,9,9
P142,9,9
P158,9,9
P20,9,9
P30,9,9
P81,9,9
P88,9,9
P91,9,9
P146,9,12
P162,9,12
P21,9,12
P26,9,12
P27,9,12
P35,9,12
P47,9,12
P54,9,12
P96,9,12
P125,9,15
P137,9,15
P171,9,15
P22,9,15
P28,9,15
P80,9,15
P104,9,18
P134,9,18
P140,9,18
P144,9,18
P149,9,18
P154,9,18
P23,9,18
P29,9,18
P37,9,18
P43,9,18
P95,9,18
P103,10,9
P157,10,9
P198,10,9
P31,10,9
P38,10,9
P90,10,9
P120,10,12
P138,10,12
P150,10,12
P166,10,12
P200,10,12
P32,10,12
P33,10,12
P34,10,12
P60,10,12
P61,10,12
P77,10,12
P128,10,15
P153,10,15
P167,10,15
P169,10,15
P178,10,15
P179,10,15
P192,10,15
P201,10,15
P49,10,15
P86,10,15
P124,10,18
P41,10,18
P63,10,18
P129,11,12
P183,11,12
P57,11,15
P93,11,18
P98,11,18
P122,12,9
P132,12,9
P174,12,9
P116,12,12
P159,12,12
P175,12,12
P176,12,12
P197,12,12
P45,12,12
P94,12,12
P109,12,15
P141,12,15
P181,12,15
P186,12,15
P193,12,15
P205,12,15
P64,12,15
P65,12,15
P102,12,18
P112,12,18
P114,12,18
P127,12,18
P148,12,18
P194,12,18
P203,12,18
P207,12,18
P48,12,18
P70,12,18
