curso,dia,hora
P104,1,9
P107,1,9
P114,1,9
P131,1,9
P133,1,9
P134,1,9
P138,1,9
P139,1,9
P141,1,9
P142,1,9
P148,1,9
P151,1,9
P156,1,9
P164,1,9
P177,1,9
P18,1,9
P183,1,9
P189,1,9
P190,1,9
P191,1,9
P199,1,9
P36,1,9
P40,1,9
P42,1,9
P53,1,9
P59,1,9
P61,1,9
P62,1,9
P79,1,9
P99,1,9
P5,2,12
P115,3,9
P119,3,9
P121,3,9
P129,3,9
P132,3,9
P135,3,9
P136,3,9
P137,3,9
P140,3,9
P143,3,9
P149,3,9
P155,3,9
P168,3,9
P175,3,9
P182,3,9
P195,3,9
P205,3,9
P41,3,9
P55,3,9
P69,3,9
P70,3,9
P75,3,9
P84,3,9
P6,3,12
P127,5,9
P144,5,9
P146,5,9
P147,5,9
P150,5,9
P152,5,9
P170,5,9
P185,5,9
P186,5,9
P197,5,9
P203,5,9
P204,5,9
P34,5,9
P54,5,9
P58,5,9
P66,5,9
P77,5,9
P90,5,9
P31,5,12
P1,9,9
P100,9,9
P120,9,9
P130,9,9
P153,9,9
P154,9,9
P159,9,9
P163,9,9
P169,9,9
P176,9,9
P187,9,9
P188,9,9
P21,9,9
P22,9,9
P23,9,9
P25,9,9
P28,9,9
P35,9,9
P56,9,9
P57,9,9
P65,9,9
P7,9,9
P74,9,9
P76,9,9
P103,11,9
P111,11,9
P126,11,9
P145,11,9
P158,11,9
P196,11,9
P207,11,9
P33,11,9
P47,11,9
P49,11,9
P60,11,9
P78,11,9
P88,11,9
P89,11,9
P91,11,9
P2,11,12
